COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,88,1,2,2023-10-18 08:00:00
20231000000000,140,1,2,2023-10-18 08:00:00
20231000000000,166,1,4,2023-10-18 08:00:00
20231000000000,190,1,1,2023-10-18 08:00:00
20231000000000,192,1,3,2023-10-18 08:00:00
20231000000000,406,1,1,2023-10-18 08:00:00
20231000000000,572,1,2,2023-10-18 08:00:00
20231000000000,672,1,2,2023-10-18 08:00:00
20231000000000,748,1,2,2023-10-18 08:00:00
20231000000000,752,1,3,2023-10-18 08:00:00
20231000000000,104,1,4,2023-10-18 08:00:00
20231000000000,123,1,4,2023-10-18 08:00:00
20231000000000,126,1,4,2023-10-18 08:00:00
20231000000000,275,1,2,2023-10-18 08:00:00
20231000000000,315,1,2,2023-10-18 08:00:00
20231000000000,335,1,2,2023-10-18 08:00:00
